index,price
0,11158067.91805882
1,35927310.93870495
2,7800926.51302267
3,8616180.65389352
4,18883702.423390735
5,4801824.302383255
6,19909226.10658878
7,8945695.577826504
8,17265224.390506074
9,27152194.244436655
10,5176760.452267491
11,256256206.96360222
12,9785715.399930697
13,11409487.502091678
14,96433840.19517602
15,9397029.604711475
16,17200117.41166559
17,38375150.32231685
18,201968421.92598197
19,7737809.960286581
20,9476927.517450005
21,29883245.219753005
22,267372460.78642505
23,4484539.640575542
24,57558563.41474167
25,15738014.320943242
26,9431373.423848908
27,33596840.78366248
28,266111119.64563107
29,3651242.267036801
30,13702334.211702641
31,7945636.642094611
32,38056995.628019236
33,32247648.050329946
34,8760596.417488547
35,35974585.0633718
36,5608830.705741729
37,69969271.43094729
38,10799287.723577084
39,5628094.457099128
40,3103995.7907131137
41,13192575.601809863
42,6611688.103216091
43,9232473.383225722
44,6660481.373239035
45,18092617.933472462
46,9853018.228921818
47,22169241.23872226
48,158089772.06428063
49,7288881.054061202
50,16904526.096696313
51,8105520.430296902
52,25117071.767089814
53,9372539.99032632
54,7798786.960535906
55,37068739.304019034
56,38653621.5604577
57,8079618.769187325
58,29684395.75772273
59,30972883.67595306
60,9863533.858719843
61,13266429.269932814
62,13223803.116247296
63,66148825.595551506
64,13171490.000996498
65,29467987.032604035
66,54874696.452385776
67,11371907.597170206
68,20665791.07515129
69,4130042.7053184942
70,24027547.20336311
71,51037859.89524287
72,16580509.26262899
73,26904584.368010096
74,20591850.87515372
75,6796930.966473849
76,21463187.679340303
77,5123663.681058303
78,11525396.644971289
79,10896382.261909777
80,39280500.60180222
81,17296953.891563185
82,26834192.507821403
83,198639042.78937408
84,10025422.556044996
85,46452151.813941665
86,12800741.7827686
87,120585459.15557188
88,7498831.887651093
89,14363121.179852296
90,18107907.9815673
91,26639060.35127387
92,4559741.643757236
93,12373576.309845682
94,4277794.743454127
95,4639753.386525184
96,6684782.34878708
97,7444086.341045945
98,18720915.419018205
99,7488012.8717469135
100,8715273.003326716
101,17714344.10532743
102,11182061.390055064
103,29098740.12254829
104,17350775.591828708
105,4711022.302074377
106,18524481.02351438
107,9497151.807288902
108,32483667.925073978
109,3175789.1320785047
110,17097501.34177177
111,23885597.80999693
112,26056114.27912766
113,35294718.57287515
114,108632747.73408043
115,80848693.6067274
116,20041560.682146646
117,16416707.052801484
118,9279539.40810716
119,18157824.202919733
120,83719336.08427699
121,22727739.34285226
122,14642870.48553973
123,47703109.342656605
124,5116527.91967824
125,93911357.0642608
126,134807495.7311988
127,29677882.5333317
128,12494170.116426926
129,4713480.757183561
130,17919014.81914179
131,5658165.363732921
132,7932447.081993137
133,38184299.39165031
134,28955659.394668598
135,19122144.614662275
136,7343371.274234634
137,12990072.160227623
